Date,Open,High,Low,Close,Adj Close,Volume,Tomorrow
4/26/2016,50.41,51.146,49.877998,50.748001,50.748001,16119000,50.293999
4/27/2016,50.549999,51,49.880001,50.293999,50.293999,16029000,49.542
4/28/2016,49.970001,50.686001,49.487999,49.542,49.542,12595000,48.152
4/29/2016,49.627998,49.686001,47.562,48.152,48.152,27069000,48.360001
5/2/2016,48.299999,48.638,46.964001,48.360001,48.360001,19219500,46.464001
5/3/2016,47.472,47.782001,46.324001,46.464001,46.464001,21511000,44.512001
5/4/2016,46.057999,46.891998,44.080002,44.512001,44.512001,43502500,42.306
5/5/2016,45.692001,45.728001,41.958,42.306,42.306,56274000,42.986
5/6/2016,42.174,43.273998,41.622002,42.986,42.986,28426000,41.784
5/9/2016,43.144001,43.23,41.360001,41.784,41.784,23882000,41.737999
5/10/2016,41.509998,41.894001,41,41.737999,41.737999,20353000,41.792
5/11/2016,41.518002,43.096001,41.209999,41.792,41.792,25809500,41.456001
5/12/2016,42.287998,42.334,40.731998,41.456001,41.456001,18252500,41.521999
5/13/2016,41.556,42.240002,41.34,41.521999,41.521999,14114000,41.658001
5/16/2016,41.630001,42.630001,41.584,41.658001,41.658001,14747000,40.931999
5/17/2016,41.810001,41.964001,40.804001,40.931999,40.931999,14218000,42.234001
5/18/2016,41.830002,43.062,41.549999,42.234001,42.234001,28087500,43.042
5/19/2016,42.723999,43.358002,41.459999,43.042,43.042,34331500,44.056
5/20/2016,43.397999,44.110001,43.27,44.056,44.056,45035500,43.243999
5/23/2016,43.973999,44.52,43.172001,43.243999,43.243999,25512500,43.582001
5/24/2016,43.32,43.748001,43.035999,43.582001,43.582001,15069000,43.916
5/25/2016,43.582001,44.271999,43.301998,43.916,43.916,15634000,45.023998
5/26/2016,44.099998,45.051998,43.810001,45.023998,45.023998,20362000,44.608002
5/27/2016,44.998001,45.186001,44.150002,44.608002,44.608002,18251500,44.646
5/31/2016,44.608002,44.950001,44.299999,44.646,44.646,13945000,43.911999
6/1/2016,44.296001,44.48,43.377998,43.911999,43.911999,14913500,43.792
6/2/2016,43.917999,43.981998,43.422001,43.792,43.792,10164000,43.798
6/3/2016,44,44.388,43.602001,43.798,43.798,11145000,44.136002
6/6/2016,43.599998,44.18,43.09,44.136002,44.136002,11247500,46.467999
6/7/2016,44.448002,46.888,44.304001,46.467999,46.467999,31068000,47.104
6/8/2016,46.759998,48.169998,46.521999,47.104,47.104,29860000,45.872002
6/9/2016,46.995998,47.066002,45.411999,45.872002,45.872002,22460500,43.757999
6/10/2016,45.478001,45.594002,43.683998,43.757999,43.757999,30133000,43.574001
6/13/2016,43.900002,45.153999,43.532001,43.574001,43.574001,20965000,42.992001
6/14/2016,43.776001,44.439999,42.506001,42.992001,42.992001,17901000,43.540001
6/15/2016,43.389999,44.380001,43.026001,43.540001,43.540001,14542500,43.585999
6/16/2016,43.484001,43.608002,42.700001,43.585999,43.585999,12201500,43.094002
6/17/2016,43.562,43.998001,42.900002,43.094002,43.094002,15563000,43.939999
6/20/2016,43.900002,44.75,43.646,43.939999,43.939999,17777500,43.922001
6/21/2016,44.136002,44.514,43.762001,43.922001,43.922001,22645000,39.332001
6/22/2016,39.894001,41.189999,39.150002,39.332001,39.332001,118712000,39.279999
6/23/2016,39.138,39.509998,38.425999,39.279999,39.279999,50653500,38.630001
6/24/2016,38.009998,39.023998,37.945999,38.630001,38.630001,35132500,39.709999
6/27/2016,38.172001,39.762001,37.574001,39.709999,39.709999,36027000,40.358002
6/28/2016,40.377998,40.810001,39.882,40.358002,40.358002,31062000,42.037998
6/29/2016,41.026001,42.355999,40.599998,42.037998,42.037998,29974500,42.456001
6/30/2016,42.594002,42.700001,41.804001,42.456001,42.456001,24215500,43.299999
7/1/2016,41.228001,43.647999,41.200001,43.299999,43.299999,27000000,42.796001
7/5/2016,41.945999,42.908001,41.599998,42.796001,42.796001,25876500,42.888
7/6/2016,42,43.046001,41.799999,42.888,42.888,24599500,43.188
7/7/2016,42.619999,43.624001,42.602001,43.188,43.188,18060000,43.355999
7/8/2016,43.560001,43.962002,42.900002,43.355999,43.355999,20374000,44.956001
7/11/2016,43.992001,45.355999,43.902,44.956001,44.956001,27149000,44.93
7/12/2016,44.82,45.5,44.644001,44.93,44.93,22856500,44.506001
7/13/2016,45.099998,45.118,44.057999,44.506001,44.506001,17835500,44.306
7/14/2016,44.624001,44.987999,44.209999,44.306,44.306,13379000,44.080002
7/15/2016,44.504002,44.549999,43.928001,44.080002,44.080002,11171000,45.25
7/18/2016,43.928001,45.417999,43.66,45.25,45.25,17060500,45.051998
7/19/2016,45,45.82,44.950001,45.051998,45.051998,15575500,45.672001
7/20/2016,45.293999,45.959999,45,45.672001,45.672001,12842500,44.099998
7/21/2016,45.200001,45.57,43.82,44.099998,44.099998,22143500,44.453999
7/22/2016,44.397999,44.900002,43.776001,44.453999,44.453999,12898500,46.001999
7/25/2016,44.453999,46.278,44.273998,46.001999,46.001999,22453500,45.902
7/26/2016,45.537998,46,45.060001,45.902,45.902,17150000,45.698002
7/27/2016,45.868,46.672001,45.383999,45.698002,45.698002,14445000,46.122002
7/28/2016,45.59,46.152,45.32,46.122002,46.122002,12095500,46.958
7/29/2016,46.139999,47.056,46.048,46.958,46.958,15354000,46.001999
8/1/2016,47.099998,47.326,45.875999,46.001999,46.001999,20081500,45.439999
8/2/2016,45.874001,45.973999,44.279999,45.439999,45.439999,19672000,45.158001
8/3/2016,45.473999,45.939999,44.841999,45.158001,45.158001,19439000,46.122002
8/4/2016,45.138,46.172001,44.41,46.122002,46.122002,20735000,46.006001
8/5/2016,46,46.400002,45.48,46.006001,46.006001,16026000,45.231998
8/8/2016,45.599998,45.919998,45.217999,45.231998,45.231998,11318000,45.816002
8/9/2016,45.363998,46.307999,45.330002,45.816002,45.816002,11039000,45.130001
8/10/2016,45.647999,45.973999,44.924,45.130001,45.130001,11691500,44.981998
8/11/2016,45.234001,45.514,44.681999,44.981998,44.981998,9404500,45.122002
8/12/2016,45.082001,45.330002,44.807999,45.122002,45.122002,9067500,45.118
8/15/2016,45.203999,45.900002,44.986,45.118,45.118,10171500,44.722
8/16/2016,45.098,45.438,44.681999,44.722,44.722,11335500,44.647999
8/17/2016,44.866001,44.966,44.560001,44.647999,44.647999,8935500,44.702
8/18/2016,44.764,45.132,44.458,44.702,44.702,8572500,45
8/19/2016,44.708,45.034,44.506001,45,45,8297500,44.585999
